non-inclusive,inclusive,Category,non-inclusive (Tamil),inclusive (Tamil)
Volunteers were asked to man the information booth.,Volunteers were asked to staff the information booth.,Gender,தன்னார்வலர்கள் தகவல் சாவடியை இயக்குமாறு கேட்டுக் கொள்ளப்பட்டனர்.,தன்னார்வலர்கள் தகவல் சாவடியில் பணியாற்றுமாறு கேட்டுக் கொள்ளப்பட்டனர்.
The chairman called for a vote during the meeting.,The chairperson called for a vote during the meeting.,Gender,கூட்டத்தின் போது தலைவர் வாக்கெடுப்புக்கு அழைப்பு விடுத்தார்.,கூட்டத்தின் போது தலைவர் வாக்களிக்க அழைப்பு விடுத்தார்.
The board is waiting for the chairman to approve the budget.,The board is waiting for the chairperson to approve the budget.,Gender,பட்ஜெட்டுக்கு தலைவர் ஒப்புதலுக்காக வாரியம் காத்திருக்கிறது.,பட்ஜெட்டுக்கு தலைவர் ஒப்புதலுக்காக வாரியம் காத்திருக்கிறது.
Only the chairman can sign this document.,Only the chairperson can sign this document.,Gender,இந்த ஆவணத்தில் தலைவர் மட்டுமே கையெழுத்திட முடியும்.,இந்த ஆவணத்தில் தலைவர் மட்டுமே கையெழுத்திட முடியும்.
The chairman will lead the conference this year.,The chairperson will lead the conference this year.,Gender,தலைவர் இந்த ஆண்டு மாநாட்டை வழிநடத்துவார்.,இந்த ஆண்டு மாநாட்டிற்கு தலைவர் தலைமை தாங்குவார்.
The decision rests with the chairman of the committee.,The decision rests with the chairperson of the committee.,Gender,முடிவு குழுவின் தலைவரிடமே உள்ளது.,முடிவு குழுவின் தலைவரிடமே உள்ளது.
The chairman of the board will address the shareholders tomorrow.,The chairperson of the board will address the shareholders tomorrow.,Gender,வாரியத்தின் தலைவர் நாளை பங்குதாரர்களிடம் பேசுவார்.,வாரியத்தின் தலைவர் பங்குதாரர்களிடம் நாளை உரையாற்றுகிறார்.
All the chairmen agreed to the new policy changes.,All the chairpeople agreed to the new policy changes.,Gender,புதிய கொள்கை மாற்றங்களுக்கு அனைத்து தலைவர்களும் ஒப்புக்கொண்டனர்.,புதிய கொள்கை மாற்றத்திற்கு அனைத்து தலைவர்களும் ஒப்புக்கொண்டனர்.
The committee designated their chairmen for the next fiscal year.,The committee designated their chairpeople for the next fiscal year.,Gender,இந்த குழு அடுத்த நிதியாண்டுக்கான தலைவர்களை நியமித்தது.,இந்த குழு அடுத்த நிதியாண்டுக்கான தலைவர்களை நியமித்தது.
The chairmen of various departments met to discuss the budget.,The chairpeople of various departments met to discuss the budget.,Gender,பட்ஜெட் தொடர்பாக பல்வேறு துறைகளின் தலைவர்கள் கூடி ஆலோசனை நடத்தினர்.,பட்ஜெட் தொடர்பாக பல்வேறு துறைகளின் தலைவர்கள் கூடி ஆலோசனை நடத்தினர்.
The company's chairmen will lead the annual general meeting.,The company's chairpeople will lead the annual general meeting.,Gender,நிறுவனத்தின் தலைவர்கள் வருடாந்திர பொதுக் கூட்டத்திற்கு தலைமை தாங்குவார்கள்.,நிறுவனத்தின் தலைவர்கள் வருடாந்திர பொதுக் கூட்டத்திற்கு தலைமை தாங்குவார்கள்.
The chairwoman will lead the meeting tomorrow.,The chairperson will lead the meeting tomorrow.,Gender,தலைவர் நாளை கூட்டத்திற்கு தலைமை தாங்குவார்.,நாளை கூட்டத்திற்கு தலைவர் தலைமை தாங்குவார்.
We elected a new chairwoman for the committee.,We elected a new chairperson for the committee.,Gender,குழுவிற்கு புதிய தலைவரை தேர்ந்தெடுத்தோம்.,குழுவிற்கு புதிய தலைவரை தேர்ந்தெடுத்தோம்.
The chairwoman announced her retirement last week.,The chairperson announced their retirement last week.,Gender,தலைவர் கடந்த வாரம் ஓய்வு பெறுவதாக அறிவித்தார்.,தலைவர் கடந்த வாரம் ஓய்வு பெறுவதாக அறிவித்தார்.
"As the chairwoman, she was responsible for organizing the event.","As the chairperson, they were responsible for organizing the event.",Gender,"தலைவி என்ற முறையில், நிகழ்ச்சியை ஏற்பாடு செய்யும் பொறுப்பை அவர் வகித்தார்.","அவைத் தலைவர் என்ற முறையில், நிகழ்ச்சியை ஏற்பாடு செய்யும் பொறுப்பு அவர்களுக்கு இருந்தது."
The chairwoman of the board made an important statement.,The chairperson of the board made an important statement.,Gender,பேரவைத் தலைவர் ஒரு முக்கிய அறிவிப்பை வெளியிட்டார்.,பேரவைத் தலைவர் ஒரு முக்கிய அறிவிப்பை வெளியிட்டார்.
The chairwomen of the committee will meet next week.,The chairpeople of the committee will meet next week.,Gender,குழுவின் தலைவர்கள் அடுத்த வாரம் கூடுவார்கள்.,குழுவின் தலைவர்கள் அடுத்த வாரம் கூடுவார்கள்.
The chairwomen have made significant progress this year.,The chairpeople have made significant progress this year.,Gender,தலைவர்கள் இந்த ஆண்டு குறிப்பிடத்தக்க முன்னேற்றம் அடைந்துள்ளனர்.,தலைவர்கள் இந்த ஆண்டு குறிப்பிடத்தக்க முன்னேற்றம் அடைந்துள்ளனர்.
We need to elect new chairwomen for the upcoming term.,We need to elect new chairpeople for the upcoming term.,Gender,எதிர்வரும் காலத்திற்கான புதிய தலைவர்களை தெரிவு செய்ய வேண்டும்.,எதிர்வரும் காலத்திற்கான புதிய தலைவர்களை நாம் தெரிவு செய்ய வேண்டும்.
Only the chairwomen were invited to the leadership summit.,Only the chairpeople were invited to the leadership summit.,Gender,தலைமைத்துவ உச்சி மாநாட்டிற்கு தலைவர்கள் மட்டுமே அழைக்கப்பட்டனர்.,தலைமைத்துவ உச்சி மாநாட்டிற்கு தலைவர்கள் மட்டுமே அழைக்கப்பட்டனர்.
The chairwomen organized a successful fundraiser.,The chairpeople organized a successful fundraiser.,Gender,தலைவர்கள் வெற்றிகரமாக நிதி சேகரிப்பை ஏற்பாடு செய்தனர்.,தலைவர்கள் ஒரு வெற்றிகரமான நிதி திரட்டலை ஏற்பாடு செய்தனர்.
The anchorman delivered his report confidently on the evening news.,The anchor delivered their report confidently on the evening news.,Gender,தொகுப்பாளர் மாலை செய்தியில் நம்பிக்கையுடன் தனது அறிக்கையை வழங்கினார்.,தொகுப்பாளர் மாலை செய்தியில் நம்பிக்கையுடன் தங்கள் அறிக்கையை வழங்கினார்.
She aspired to become the first female anchorman on national television.,She aspired to become the first female anchor on national television.,Gender,தேசிய தொலைக்காட்சியில் முதல் பெண் தொகுப்பாளினி ஆவதற்கு அவர் ஆசைப்பட்டார்.,தேசிய தொலைக்காட்சியில் முதல் பெண் தொகுப்பாளராக வர வேண்டும் என்று ஆசைப்பட்டார்.
The anchorman has been with the station for over a decade.,The anchor has been with the station for over a decade.,Gender,அறிவிப்பாளர் ஒரு தசாப்தத்திற்கும் மேலாக நிலையத்தில் இருந்து வருகிறார்.,அறிவிப்பாளர் ஒரு தசாப்தத்திற்கும் மேலாக நிலையத்தில் இருந்து வருகிறார்.
The network is hiring a new anchorman to host the morning show.,The network is hiring a new anchor to host the morning show.,Gender,காலை நிகழ்ச்சியை தொகுத்து வழங்க நெட்வொர்க் ஒரு புதிய தொகுப்பாளரை பணியமர்த்துகிறது.,காலை நிகழ்ச்சியை தொகுத்து வழங்க நெட்வொர்க் ஒரு புதிய தொகுப்பாளரை பணியமர்த்துகிறது.
"As an anchorman, he was responsible for presenting the news accurately.","As an anchor, they were responsible for presenting the news accurately.",Gender,"ஒரு தொகுப்பாளராக, செய்திகளை துல்லியமாக வழங்குவதற்கு அவர் பொறுப்பேற்றார்.","ஒரு தொகுப்பாளராக, அவர்கள் செய்திகளை துல்லியமாக வழங்குவதற்கு பொறுப்பானவர்கள்."
The show's anchormen delivered the news with authority.,The show's anchors delivered the news with authority.,Gender,நிகழ்ச்சியின் தொகுப்பாளர்கள் அதிகாரத்துடன் செய்திகளை வழங்கினர்.,நிகழ்ச்சியின் தொகுப்பாளர்கள் அதிகாரத்துடன் செய்திகளை வழங்கினர்.
"As anchormen, they set the standard for broadcast journalism.","As anchors, they set the standard for broadcast journalism.",Gender,"தொகுப்பாளர்களாக, அவர்கள் ஒளிபரப்பு பத்திரிகைக்கான தரத்தை அமைத்தனர்.","அறிவிப்பாளர்களாக, அவர்கள் ஒளிபரப்பு பத்திரிகைக்கான தரத்தை அமைத்தனர்."
The network hired several new anchormen this season.,The network hired several new anchors this season.,Gender,நெட்வொர்க் இந்த சீசனில் பல புதிய அறிவிப்பாளர்களை பணியமர்த்தியது.,நெட்வொர்க் இந்த சீசனில் பல புதிய அறிவிப்பாளர்களை பணியமர்த்தியது.
The anchormen's voices were familiar to audiences across the country.,The anchors' voices were familiar to audiences across the country.,Gender,தொகுப்பாளர்களின் குரல்கள் நாடு முழுவதும் உள்ள பார்வையாளர்களுக்கு நன்கு தெரிந்திருந்தது.,அறிவிப்பாளர்களின் குரல்கள் நாடு முழுவதும் உள்ள பார்வையாளர்களுக்கு நன்கு தெரிந்திருந்தது.
Only experienced anchormen were considered for the prime time slot.,Only experienced anchors were considered for the prime time slot.,Gender,பிரைம் டைம் ஸ்லாட்டுக்கு அனுபவம் வாய்ந்த ஆங்கர்மேன்கள் மட்டுமே கருதப்பட்டனர்.,பிரைம் டைம் ஸ்லாட்டுக்கு அனுபவம் வாய்ந்த அறிவிப்பாளர்கள் மட்டுமே கருதப்பட்டனர்.
The anchorwoman reported live from the scene.,The anchor reported live from the scene.,Gender,தொகுப்பாளர் சம்பவ இடத்தில் இருந்து நேரலையில் தெரிவித்தார்.,தொகுப்பாளர் சம்பவ இடத்தில் இருந்து நேரலையில் தெரிவித்தார்.
The station hired a new anchorwoman for the evening broadcast.,The station hired a new anchor for the evening broadcast.,Gender,மாலை நேர ஒளிபரப்பிற்காக நிலையம் ஒரு புதிய தொகுப்பாளினியை நியமித்தது.,மாலை நேர ஒளிபரப்பிற்காக நிலையம் ஒரு புதிய தொகுப்பாளரை நியமித்தது.
The anchorwoman received an award for her outstanding journalism.,The anchor received an award for outstanding journalism.,Gender,தொகுப்பாளினி தனது சிறந்த பத்திரிகைக்காக ஒரு விருதைப் பெற்றார்.,தொகுப்பாளர் சிறந்த பத்திரிகைக்கான விருதைப் பெற்றார்.
Viewers praised the anchorwoman for her detailed coverAge.,Viewers praised the anchor for detailed coverAge.,Gender,பார்வையாளர்கள் தொகுப்பாளினியை அவரது விரிவான கவரேஜ் குறித்து பாராட்டினர்.,விரிவான கவரேஜுக்காக பார்வையாளர்கள் தொகுப்பாளரை பாராட்டினர்.
The anchorwoman interviewed several experts during the segment.,The anchor interviewed several experts during the segment.,Gender,தொகுப்பாளினி பிரிவின் போது பல நிபுணர்களை பேட்டி கண்டார்.,தொகுப்பாளர் பிரிவின் போது பல நிபுணர்களை பேட்டி கண்டார்.
The anchorwomen reported the news with professionalism and clarity.,The anchors reported the news with professionalism and clarity.,Gender,தொகுப்பாளினிகள் இந்த செய்தியை தொழில்முறை மற்றும் தெளிவுடன் தெரிவித்தனர்.,அறிவிப்பாளர்கள் தொழில்முறை மற்றும் தெளிவுடன் செய்திகளை தெரிவித்தனர்.
Anchorwomen often face challenges in the media industry.,Anchors often face challenges in the media industry.,Gender,ஊடகத்துறையில் ஆங்கர் பெண்கள் அடிக்கடி சவால்களை எதிர்கொள்கின்றனர்.,ஊடகத்துறையில் அறிவிப்பாளர்கள் அடிக்கடி சவால்களை எதிர்கொள்கின்றனர்.
The station has hired several new anchorwomen this year.,The station has hired several new anchors this year.,Gender,நிலையம் இந்த ஆண்டு பல புதிய நங்கூரர்களை பணியமர்த்தியுள்ளது.,நிலையம் இந்த ஆண்டு பல புதிய அறிவிப்பாளர்களை பணியமர்த்தியுள்ளது.
Many young girls aspire to become anchorwomen on TV.,Many young people aspire to become anchors on TV.,Gender,பல இளம் பெண்கள் தொலைக்காட்சியில் தொகுப்பாளினி ஆக ஆசைப்படுகிறார்கள்.,பல இளைஞர்கள் டிவியில் ஆங்கர் ஆக ஆசைப்படுகிறார்கள்.
The network celebrated the achievements of its top anchorwomen.,The network celebrated the achievements of its top anchors.,Gender,நெட்வொர்க் அதன் சிறந்த தொகுப்பாளர்களின் சாதனைகளை கொண்டாடியது.,நெட்வொர்க் அதன் சிறந்த அறிவிப்பாளர்களின் சாதனைகளை கொண்டாடியது.
The congressman proposed a new bill in the House.,The member of congress proposed a new bill in the House.,Gender,சபையில் புதிய மசோதாவை காங்கிரஸ் உறுப்பினர் முன்மொழிந்தார்.,காங்கிரஸ் உறுப்பினர் புதிய மசோதாவை சபையில் முன்மொழிந்தார்.
Every congressman should attend the meeting on Friday.,Every member of congress should attend the meeting on Friday.,Gender,ஒவ்வொரு காங்கிரசார் வெள்ளிக்கிழமை கூட்டத்தில் கலந்து கொள்ள வேண்டும்.,காங்கிரஸின் ஒவ்வொரு உறுப்பினரும் வெள்ளிக்கிழமை கூட்டத்தில் கலந்து கொள்ள வேண்டும்.
The congressman voiced his opinion on the recent policy changes.,The member of congress voiced their opinion on the recent policy changes.,Gender,சமீபத்திய கொள்கை மாற்றங்கள் குறித்து காங்கிரஸ் கட்சி தனது கருத்தை தெரிவித்தார்.,சமீபத்திய கொள்கை மாற்றங்கள் குறித்து காங்கிரஸ் உறுப்பினர் கருத்து தெரிவித்தார்.
A congressman's role is crucial in passing legislation.,A member of congress's role is crucial in passing legislation.,Gender,சட்டம் இயற்றுவதில் காங்கிரஸ்காரரின் பங்கு முக்கியமானது.,சட்டம் இயற்றுவதில் காங்கிரசின் பங்கு முக்கியமானது.
The congressman was interviewed on national television.,The member of congress was interviewed on national television.,Gender,தேசிய தொலைக்காட்சிக்கு காங்கிரஸ் கட்சியினர் பேட்டி அளித்தனர்.,காங்கிரஸ் உறுப்பினர் தேசிய தொலைக்காட்சிக்கு பேட்டி அளித்தார்.
The congressmen gathered to discuss the new bill.,The members of congress gathered to discuss the new bill.,Gender,புதிய மசோதா குறித்து விவாதிக்க காங்கிரஸ் கட்சியினர் திரண்டனர்.,புதிய மசோதா குறித்து விவாதிக்க காங்கிரஸ் உறுப்பினர்கள் கூடினர்.
Congressmen need to work together to address these issues.,Members of congress need to work together to address these issues.,Gender,இந்தப் பிரச்னைகளைத் தீர்க்க காங்கிரஸ் கட்சியினர் ஒன்றிணைந்து செயல்பட வேண்டும்.,இந்தப் பிரச்னைகளைத் தீர்க்க காங்கிரஸ் உறுப்பினர்கள் ஒன்றிணைந்து செயல்பட வேண்டும்.
The congressmen voted on the proposed legislation.,The members of congress voted on the proposed legislation.,Gender,முன்மொழியப்பட்ட சட்டத்தின் மீது காங்கிரஸ் உறுப்பினர்கள் வாக்களித்தனர்.,முன்மொழியப்பட்ட சட்டத்தின் மீது காங்கிரஸ் உறுப்பினர்கள் வாக்களித்தனர்.
This event is hosted by congressmen from both parties.,This event is hosted by members of congress from both parties.,Gender,இந்த நிகழ்ச்சியை இரு கட்சிகளைச் சேர்ந்த காங்கிரசார் தொகுத்து வழங்குகிறார்கள்.,இந்த நிகழ்ச்சியை இரு கட்சிகளைச் சேர்ந்த காங்கிரஸ் உறுப்பினர்கள் தொகுத்து வழங்குகிறார்கள்.
The congressmen are expected to debate the topic tomorrow.,The members of congress are expected to debate the topic tomorrow.,Gender,இது குறித்து காங்கிரஸ் கட்சியினர் நாளை விவாதம் நடத்துவார்கள் என எதிர்பார்க்கப்படுகிறது.,இந்த தலைப்பில் காங்கிரஸ் உறுப்பினர்கள் நாளை விவாதம் நடத்துவார்கள் என எதிர்பார்க்கப்படுகிறது.
The congresswoman made a powerful speech during the session.,The member of congress made a powerful speech during the session.,Gender,இந்த அமர்வின் போது காங்கிரஸ் பெண் ஒரு சக்திவாய்ந்த உரையை ஆற்றினார்.,இந்த அமர்வின் போது காங்கிரஸ் உறுப்பினர் சக்திவாய்ந்த உரை நிகழ்த்தினார்.
That congresswoman has been representing our district for years.,That member of congress has been representing our district for years.,Gender,அந்த காங்கிரசு பெண்மணி எங்கள் மாவட்டத்தை ஆண்டாண்டு காலமாக பிரதிநிதித்துவப்படுத்தி வருகிறார்.,அந்த காங்கிரஸ் உறுப்பினர் பல ஆண்டுகளாக எங்கள் மாவட்டத்தை பிரதிநிதித்துவப்படுத்துகிறார்.
Each congresswoman was invited to the event.,Each member of congress was invited to the event.,Gender,இந்நிகழ்ச்சிக்கு ஒவ்வொரு காங்கிரசார் அழைக்கப்பட்டனர்.,காங்கிரஸின் ஒவ்வொரு உறுப்பினரும் இந்த நிகழ்விற்கு அழைக்கப்பட்டனர்.
A congresswoman introduced the new bill.,A member of congress introduced the new bill.,Gender,காங்கிரஸ் பெண் ஒருவர் புதிய மசோதாவை தாக்கல் செய்தார்.,காங்கிரஸ் உறுப்பினர் புதிய மசோதாவை தாக்கல் செய்தார்.
The audience applauded the congresswoman for her efforts.,The audience applauded the member of congress for their efforts.,Gender,காங்கிரசின் முயற்சிக்கு பார்வையாளர்கள் கைதட்டி பாராட்டினர்.,காங்கிரஸ் உறுப்பினரின் முயற்சிக்கு பார்வையாளர்கள் கைதட்டி பாராட்டினர்.
The congresswomen are meeting to discuss the new bill.,The members of congress are meeting to discuss the new bill.,Gender,புதிய மசோதா குறித்து ஆலோசிக்க காங்கிரஸ் கட்சியினர் கூட்டம் நடத்தி வருகின்றனர்.,புதிய மசோதா குறித்து விவாதிப்பதற்காக காங்கிரஸ் உறுப்பினர்கள் கூடி வருகின்றனர்.
The congresswomen's opinions were crucial in shaping the policy.,The opinions of the members of congress were crucial in shaping the policy.,Gender,கொள்கையை உருவாக்குவதில் காங்கிரஸ் பெண்களின் கருத்துக்கள் முக்கியமானவை.,கொள்கையை உருவாக்குவதில் காங்கிரஸ் உறுப்பினர்களின் கருத்துக்கள் முக்கியமானவை.
Only congresswomen attended the charity event last night.,Only members of congress attended the charity event last night.,Gender,நேற்று இரவு நடந்த அன்னதான நிகழ்ச்சியில் காங்கிரஸ் கட்சியினர் மட்டும் கலந்து கொண்டனர்.,நேற்றிரவு நடந்த அன்னதான நிகழ்ச்சியில் காங்கிரஸ் உறுப்பினர்கள் மட்டுமே கலந்து கொண்டனர்.
The congresswomen are known for their strong advocacy on environmental issues.,The members of congress are known for their strong advocacy on environmental issues.,Gender,காங்கிரஸ் பெண்கள் சுற்றுச்சூழல் பிரச்சினைகளில் தங்கள் வலுவான வக்காலத்துக்காக அறியப்பட்டவர்கள்.,காங்கிரஸின் உறுப்பினர்கள் சுற்றுச்சூழல் பிரச்சினைகளில் தங்கள் வலுவான வக்காலத்துக்காக அறியப்படுகிறார்கள்.
The congresswomen celebrated the passing of the landmark legislation.,The members of congress celebrated the passing of the landmark legislation.,Gender,முக்கிய சட்டம் நிறைவேற்றப்பட்டதை காங்கிரஸ் பெண்கள் கொண்டாடினர்.,முக்கிய சட்டம் நிறைவேற்றப்பட்டதை காங்கிரஸ் உறுப்பினர்கள் கொண்டாடினர்.
The policeman quickly arrived at the scene.,The police officer quickly arrived at the scene.,Gender,போலீஸ்காரர் சம்பவ இடத்திற்கு விரைந்து வந்தார்.,போலீஸ் அதிகாரி சம்பவ இடத்திற்கு விரைந்து வந்தார்.
"When a policeman gives you a ticket, you should be respectful.","When a police officer gives you a ticket, you should be respectful.",Gender,"ஒரு போலீஸ்காரர் உங்களுக்கு டிக்கெட் கொடுக்கும்போது, ​​​​நீங்கள் மரியாதையுடன் இருக்க வேண்டும்.","ஒரு போலீஸ் அதிகாரி உங்களுக்கு டிக்கெட் கொடுக்கும்போது, ​​​​நீங்கள் மரியாதையுடன் இருக்க வேண்டும்."
The child pointed excitedly at the policeman directing traffic.,The child pointed excitedly at the police officer directing traffic.,Gender,போக்குவரத்தை ஒழுங்குபடுத்தும் போலீஸ்காரரை குழந்தை உற்சாகத்துடன் சுட்டிக்காட்டியது.,போக்குவரத்தை ஒழுங்குபடுத்தும் போலீஸ் அதிகாரியை குழந்தை உற்சாகத்துடன் சுட்டிக்காட்டியது.
They hired a new policeman to patrol the neighborhood.,They hired a new police officer to patrol the neighborhood.,Gender,அக்கம்பக்கத்தில் ரோந்துப் பணியில் ஈடுபட புதிய போலீஸ்காரரை நியமித்தனர்.,அவர்கள் அக்கம் பக்கத்தில் ரோந்து செல்ல ஒரு புதிய போலீஸ் அதிகாரியை நியமித்தனர்.
The policemen arrived quickly at the scene.,The police officers arrived quickly at the scene.,Gender,போலீசார் சம்பவ இடத்திற்கு விரைந்து வந்தனர்.,போலீசார் சம்பவ இடத்திற்கு விரைந்து வந்தனர்.
The young boy was excited to meet the policemen during the school visit.,The young boy was excited to meet the police officers during the school visit.,Gender,பள்ளி வருகையின் போது காவலர்களை சந்திப்பதில் சிறுவன் உற்சாகமாக இருந்தான்.,பள்ளி வருகையின் போது சிறுவன் காவல்துறை அதிகாரிகளை சந்திக்க உற்சாகமாக இருந்தான்.
The policemen's association held a community meeting to address local concerns.,The police officers' association held a community meeting to address local concerns.,Gender,"உள்ளூர் பிரச்னைகளுக்கு தீர்வு காணும் வகையில், காவல் துறையினர் சங்கம் சார்பில் கூட்டம் நடத்தப்பட்டது.",காவல்துறை அதிகாரிகள் சங்கம் உள்ளூர் பிரச்சனைகளை தீர்க்க சமூக கூட்டம் நடத்தியது.
She felt safe knowing that the policemen were on patrol in her neighborhood.,She felt safe knowing that the police officers were on patrol in her neighborhood.,Gender,போலீஸ்காரர்கள் தன் சுற்றுப்புறத்தில் ரோந்துப் பணியில் ஈடுபட்டிருப்பதை அறிந்த அவள் பாதுகாப்பாக உணர்ந்தாள்.,போலீஸ் அதிகாரிகள் தன் சுற்றுப்புறத்தில் ரோந்துப் பணியில் ஈடுபட்டிருப்பதை அறிந்த அவள் பாதுகாப்பாக உணர்ந்தாள்.
The policemen received commendations for their bravery in the line of duty.,The police officers received commendations for their bravery in the line of duty.,Gender,பணியின் போது துணிச்சலாக செயல்பட்ட காவலர்களுக்கு பாராட்டுகள் குவிந்தன.,பணியின் போது துணிச்சலுடன் செயல்பட்ட காவல்துறை அதிகாரிகளுக்கு பாராட்டுகள் குவிந்தன.
The policewoman quickly responded to the emergency call.,The police officer quickly responded to the emergency call.,Gender,அவசர அழைப்புக்கு போலீஸ் பெண் விரைவாக பதிலளித்தார்.,காவல்துறை அதிகாரி அவசர அழைப்புக்கு விரைவாக பதிலளித்தார்.
We saw a policewoman directing traffic during the parade.,We saw a police officer directing traffic during the parade.,Gender,அணிவகுப்பின் போது ஒரு போலீஸ் பெண் போக்குவரத்தை ஒழுங்குபடுத்துவதை நாங்கள் பார்த்தோம்.,அணிவகுப்பின் போது ஒரு போலீஸ் அதிகாரி போக்குவரத்தை ஒழுங்குபடுத்துவதை நாங்கள் பார்த்தோம்.
Our neighborhood is patrolled by a policewoman every evening.,Our neighborhood is patrolled by a police officer every evening.,Gender,எங்கள் அக்கம் பக்கத்தில் தினமும் மாலையில் ஒரு போலீஸ்காரர் ரோந்து செல்கிறார்.,எங்கள் சுற்றுப்புறத்தில் தினமும் மாலை ஒரு போலீஸ் அதிகாரி ரோந்து செல்கிறார்.
The policewoman received an award for her bravery.,The police officer received an award for their bravery.,Gender,காவலர் வீராங்கனைக்கு விருது கிடைத்தது.,காவல்துறை அதிகாரி அவர்களின் துணிச்சலுக்காக விருது பெற்றார்.
A policewoman was the first to arrive at the scene of the accident.,A police officer was the first to arrive at the scene of the accident.,Gender,விபத்து நடந்த இடத்திற்கு முதலில் வந்தவர் போலீஸ் பெண் ஒருவர்.,விபத்து நடந்த இடத்திற்கு முதலில் வந்த ஒரு போலீஸ் அதிகாரி.
The policewomen handled the situation with great skill.,The police officers handled the situation with great skill.,Gender,போலீசார் மிகவும் திறமையாக சூழ்நிலையை சமாளித்தனர்.,காவல்துறை அதிகாரிகள் மிகவும் சாமர்த்தியமாக சூழ்நிலையை சமாளித்தனர்.
We need to recruit more policewomen into the task force.,We need to recruit more police officers into the task force.,Gender,கூடுதல் காவலர்களை அதிரடிப்படையில் நியமிக்க வேண்டும்.,கூடுதல் போலீஸ் அதிகாரிகளை அதிரடிப்படையில் சேர்க்க வேண்டும்.
The community honored the brave policewomen for their service.,The community honored the brave police officers for their service.,Gender,துணிச்சலான காவலர்களின் சேவைக்காக சமூகம் அவர்களை கவுரவித்தது.,துணிச்சலான காவல்துறை அதிகாரிகளின் சேவைக்காக சமூகம் கௌரவித்தது.
Only policewomen were assigned to handle the domestic dispute cases.,Only police officers were assigned to handle the domestic dispute cases.,Gender,குடும்பத் தகராறு வழக்குகளைக் கையாளுவதற்குப் பெண்கள் மட்டுமே நியமிக்கப்பட்டனர்.,குடும்ப தகராறு வழக்குகளை கையாள போலீஸ் அதிகாரிகள் மட்டுமே நியமிக்கப்பட்டனர்.
The policewomen at the station are organizing a community event.,The police officers at the station are organizing a community event.,Gender,ஸ்டேஷனில் உள்ள போலீஸ் பெண்கள் சமூக நிகழ்ச்சிக்கு ஏற்பாடு செய்கிறார்கள்.,ஸ்டேஷனில் உள்ள போலீஸ் அதிகாரிகள் ஒரு சமூக நிகழ்வை ஏற்பாடு செய்கிறார்கள்.
The spokesman addressed the media about the new policy.,The spokesperson addressed the media about the new policy.,Gender,புதிய கொள்கை தொடர்பில் ஊடகங்களுக்கு கருத்து தெரிவித்த பேச்சாளர்.,புதிய கொள்கை குறித்து செய்தி தொடர்பாளர் ஊடகங்களுக்கு கருத்து தெரிவித்தார்.
"After the meeting, the spokesman gave a short interview.","After the meeting, the spokesperson gave a short interview.",Gender,"கூட்டத்திற்குப் பிறகு, செய்தித் தொடர்பாளர் ஒரு சிறிய பேட்டியை அளித்தார்.","கூட்டத்திற்குப் பிறகு, செய்தித் தொடர்பாளர் ஒரு சிறிய பேட்டி அளித்தார்."
The company's spokesman was praised for his clear communication.,The company's spokesperson was praised for their clear communication.,Gender,நிறுவனத்தின் செய்தித் தொடர்பாளர் அவரது தெளிவான தகவல் தொடர்புக்காக பாராட்டப்பட்டார்.,நிறுவனத்தின் செய்தித் தொடர்பாளர் அவர்களின் தெளிவான தகவல் தொடர்புக்காக பாராட்டப்பட்டார்.
The spokesman for the environmental group announced the new initiative.,The spokesperson for the environmental group announced the new initiative.,Gender,சுற்றுச்சூழல் குழுவின் செய்தித் தொடர்பாளர் புதிய முயற்சியை அறிவித்தார்.,சுற்றுச்சூழல் குழுவின் செய்தித் தொடர்பாளர் புதிய முயற்சியை அறிவித்தார்.
Our spokesman will handle all inquiries about the event.,Our spokesperson will handle all inquiries about the event.,Gender,நிகழ்வைப் பற்றிய அனைத்து விசாரணைகளையும் எங்கள் செய்தித் தொடர்பாளர் கையாளுவார்.,நிகழ்வைப் பற்றிய அனைத்து விசாரணைகளையும் எங்கள் செய்தித் தொடர்பாளர் கையாளுவார்.
The company's spokesmen addressed the media yesterday.,The company's spokespersons addressed the media yesterday.,Gender,நிறுவனத்தின் செய்தி தொடர்பாளர்கள் நேற்று ஊடகங்களுக்கு கருத்து தெரிவித்தனர்.,நிறுவனத்தின் செய்தித் தொடர்பாளர்கள் நேற்று ஊடகங்களுக்கு கருத்துத் தெரிவித்தனர்.
"Each year, the association's spokesmen release an annual report.","Each year, the association's spokespersons release an annual report.",Gender,"ஒவ்வொரு ஆண்டும், சங்கத்தின் செய்தித் தொடர்பாளர்கள் ஆண்டு அறிக்கையை வெளியிடுகிறார்கள்.","ஒவ்வொரு ஆண்டும், சங்கத்தின் செய்தித் தொடர்பாளர்கள் ஆண்டு அறிக்கையை வெளியிடுகிறார்கள்."
The council's spokesmen announced the new policy changes.,The council's spokespersons announced the new policy changes.,Gender,சபையின் செய்தித் தொடர்பாளர்கள் புதிய கொள்கை மாற்றங்களை அறிவித்தனர்.,சபையின் செய்தித் தொடர்பாளர்கள் புதிய கொள்கை மாற்றங்களை அறிவித்தனர்.
