non-inclusive,inclusive,Category,non-inclusive (Kannada),inclusive (Kannada)
The congresswomen celebrated the passing of the landmark legislation.,The members of congress celebrated the passing of the landmark legislation.,Gender,ಹೆಗ್ಗುರುತು ಶಾಸನದ ಅಂಗೀಕಾರವನ್ನು ಕಾಂಗ್ರೆಸ್ ಮಹಿಳೆಯರು ಆಚರಿಸಿದರು.,ಹೆಗ್ಗುರುತು ಶಾಸನದ ಅಂಗೀಕಾರವನ್ನು ಕಾಂಗ್ರೆಸ್ ಸದಸ್ಯರು ಆಚರಿಸಿದರು.
The policeman quickly arrived at the scene.,The police officer quickly arrived at the scene.,Gender,ಪೋಲೀಸರು ಕೂಡಲೇ ಸ್ಥಳಕ್ಕೆ ಬಂದರು.,ಪೊಲೀಸ್ ಅಧಿಕಾರಿ ಕೂಡಲೇ ಸ್ಥಳಕ್ಕೆ ಆಗಮಿಸಿದರು.
"When a policeman gives you a ticket, you should be respectful.","When a police officer gives you a ticket, you should be respectful.",Gender,"ಒಬ್ಬ ಪೋಲೀಸರು ನಿಮಗೆ ಟಿಕೆಟ್ ನೀಡಿದಾಗ, ನೀವು ಗೌರವದಿಂದ ವರ್ತಿಸಬೇಕು.","ಪೊಲೀಸ್ ಅಧಿಕಾರಿ ನಿಮಗೆ ಟಿಕೆಟ್ ನೀಡಿದಾಗ, ನೀವು ಗೌರವದಿಂದ ಇರಬೇಕು."
The child pointed excitedly at the policeman directing traffic.,The child pointed excitedly at the police officer directing traffic.,Gender,ಮಗುವು ಉತ್ಸಾಹದಿಂದ ಸಂಚಾರ ನಿರ್ದೇಶಿಸುತ್ತಿದ್ದ ಪೊಲೀಸರ ಕಡೆಗೆ ಬೆರಳು ತೋರಿಸಿತು.,ಮಗುವು ಉತ್ಸಾಹದಿಂದ ಸಂಚಾರ ನಿರ್ದೇಶಿಸುತ್ತಿದ್ದ ಪೊಲೀಸ್ ಅಧಿಕಾರಿಯ ಕಡೆಗೆ ಬೆರಳು ತೋರಿಸಿತು.
They hired a new policeman to patrol the neighborhood.,They hired a new police officer to patrol the neighborhood.,Gender,ಅವರು ನೆರೆಹೊರೆಯಲ್ಲಿ ಗಸ್ತು ತಿರುಗಲು ಹೊಸ ಪೊಲೀಸರನ್ನು ನೇಮಿಸಿಕೊಂಡರು.,ಅವರು ನೆರೆಹೊರೆಯಲ್ಲಿ ಗಸ್ತು ತಿರುಗಲು ಹೊಸ ಪೊಲೀಸ್ ಅಧಿಕಾರಿಯನ್ನು ನೇಮಿಸಿಕೊಂಡರು.
The policemen arrived quickly at the scene.,The police officers arrived quickly at the scene.,Gender,ಪೊಲೀಸರು ಕೂಡಲೇ ಸ್ಥಳಕ್ಕೆ ಆಗಮಿಸಿದರು.,ಘಟನಾ ಸ್ಥಳಕ್ಕೆ ಪೊಲೀಸ್ ಅಧಿಕಾರಿಗಳು ಕ್ಷಿಪ್ರವಾಗಿ ಆಗಮಿಸಿದರು.
The young boy was excited to meet the policemen during the school visit.,The young boy was excited to meet the police officers during the school visit.,Gender,ಶಾಲೆಯ ಭೇಟಿಯ ಸಮಯದಲ್ಲಿ ಆ ಬಾಲಕ ಪೊಲೀಸರನ್ನು ಭೇಟಿಯಾಗಲು ಉತ್ಸುಕನಾಗಿದ್ದನು.,ಶಾಲಾ ಭೇಟಿಯ ಸಮಯದಲ್ಲಿ ಪೊಲೀಸ್ ಅಧಿಕಾರಿಗಳನ್ನು ಭೇಟಿ ಮಾಡಲು ಚಿಕ್ಕ ಹುಡುಗ ಉತ್ಸುಕನಾಗಿದ್ದನು.
The policemen's association held a community meeting to address local concerns.,The police officers' association held a community meeting to address local concerns.,Gender,ಸ್ಥಳೀಯ ಕಳವಳಗಳನ್ನು ಪರಿಹರಿಸಲು ಪೊಲೀಸರ ಸಂಘವು ಸಮುದಾಯ ಸಭೆಯನ್ನು ನಡೆಸಿತು.,ಸ್ಥಳೀಯ ಕಳವಳಗಳನ್ನು ಪರಿಹರಿಸಲು ಪೊಲೀಸ್ ಅಧಿಕಾರಿಗಳ ಸಂಘವು ಸಮುದಾಯ ಸಭೆಯನ್ನು ನಡೆಸಿತು.
She felt safe knowing that the policemen were on patrol in her neighborhood.,She felt safe knowing that the police officers were on patrol in her neighborhood.,Gender,ತನ್ನ ನೆರೆಹೊರೆಯಲ್ಲಿ ಪೊಲೀಸರು ಗಸ್ತು ತಿರುಗುತ್ತಿದ್ದಾರೆ ಎಂದು ತಿಳಿದು ಅವಳಿಗೆ ಸುರಕ್ಷಿತ ಭಾವನೆ ಮೂಡಿತು.,ತನ್ನ ನೆರೆಹೊರೆಯಲ್ಲಿ ಪೊಲೀಸ್ ಅಧಿಕಾರಿಗಳು ಗಸ್ತು ತಿರುಗುತ್ತಿದ್ದಾರೆ ಎಂದು ತಿಳಿದು ಅವಳಿಗೆ ಸುರಕ್ಷಿತ ಭಾವನೆ ಮೂಡಿತು.
The policemen received commendations for their bravery in the line of duty.,The police officers received commendations for their bravery in the line of duty.,Gender,ಕರ್ತವ್ಯದಲ್ಲಿ ತೋರಿದ ಧೈರ್ಯಕ್ಕಾಗಿ ಪೊಲೀಸರಿಗೆ ಪ್ರಶಂಸೆಗಳು ದೊರೆತವು.,ಕರ್ತವ್ಯದಲ್ಲಿ ತೋರಿಸಿದ ಧೈರ್ಯಕ್ಕಾಗಿ ಪೊಲೀಸ್ ಅಧಿಕಾರಿಗಳಿಗೆ ಪ್ರಶಂಸೆಗಳು ದೊರೆತವು
The policewoman quickly responded to the emergency call.,The police officer quickly responded to the emergency call.,Gender,ಪೊಲೀಸ್ ಮಹಿಳೆ ತುರ್ತು ಕರೆಗೆ ತ್ವರಿತವಾಗಿ ಪ್ರತಿಕ್ರಿಯಿಸಿದರು.,ತುರ್ತು ಕರೆಗೆ ಪೊಲೀಸ್ ಅಧಿಕಾರಿ ತ್ವರಿತವಾಗಿ ಪ್ರತಿಕ್ರಿಯಿಸಿದರು.
We saw a policewoman directing traffic during the parade.,We saw a police officer directing traffic during the parade.,Gender,ಮೆರವಣಿಗೆಯ ಸಮಯದಲ್ಲಿ ಸಂಚಾರವನ್ನು ನಿರ್ದೇಶಿಸುತ್ತಿರುವ ಒಬ್ಬ ಪೊಲೀಸ್ ಮಹಿಳೆಯನ್ನು ನಾವು ನೋಡಿದೆವು.,ಮೆರವಣಿಗೆಯ ಸಮಯದಲ್ಲಿ ಸಂಚಾರವನ್ನು ನಿರ್ದೇಶಿಸುತ್ತಿರುವ ಪೊಲೀಸ್ ಅಧಿಕಾರಿಯನ್ನು ನಾವು ನೋಡಿದ್ದೇವೆ.
Our neighborhood is patrolled by a policewoman every evening.,Our neighborhood is patrolled by a police officer every evening.,Gender,ನಮ್ಮ ನೆರೆಹೊರೆಯಲ್ಲಿ ಪ್ರತಿದಿನ ಸಂಜೆ ಒಬ್ಬ ಪೊಲೀಸ್ ಮಹಿಳೆ ಗಸ್ತು ತಿರುಗುತ್ತಾರೆ.,ನಮ್ಮ ನೆರೆಹೊರೆಯಲ್ಲಿ ಪ್ರತಿದಿನ ಸಂಜೆ ಒಬ್ಬ ಪೊಲೀಸ್ ಅಧಿಕಾರಿ ಗಸ್ತು ತಿರುಗುತ್ತಾರೆ.
The policewoman received an award for her bravery.,The police officer received an award for their bravery.,Gender,ಪೊಲೀಸ್ ಮಹಿಳೆ ತನ್ನ ಧೈರ್ಯಕ್ಕಾಗಿ ಪ್ರಶಸ್ತಿ ಪಡೆದರು.,ಪೊಲೀಸ್ ಅಧಿಕಾರಿ ತಮ್ಮ ಧೈರ್ಯಕ್ಕಾಗಿ ಪ್ರಶಸ್ತಿ ಪಡೆದರು.
A policewoman was the first to arrive at the scene of the accident.,A police officer was the first to arrive at the scene of the accident.,Gender,ಅಪಘಾತ ನಡೆದ ಸ್ಥಳಕ್ಕೆ ಮೊದಲು ಬಂದವರು ಒಬ್ಬ ಪೊಲೀಸ್ ಮಹಿಳೆ.,ಅಪಘಾತದ ಸ್ಥಳಕ್ಕೆ ಮೊದಲು ಬಂದವರು ಪೊಲೀಸ್ ಅಧಿಕಾರಿ.
The policewomen handled the situation with great skill.,The police officers handled the situation with great skill.,Gender,ಮಹಿಳಾ ಪೊಲೀಸರು ಪರಿಸ್ಥಿತಿಯನ್ನು ಬಹಳ ಕೌಶಲ್ಯದಿಂದ ನಿಭಾಯಿಸಿದರು.,ಪೊಲೀಸ್ ಅಧಿಕಾರಿಗಳು ಅತ್ಯಂತ ಕೌಶಲ್ಯದಿಂದ ಪರಿಸ್ಥಿತಿಯನ್ನು ನಿಭಾಯಿಸಿದರು.
We need to recruit more policewomen into the task force.,We need to recruit more police officers into the task force.,Gender,ನಾವು ಹೆಚ್ಚಿನ ಮಹಿಳಾ ಪೊಲೀಸ್ ಸಿಬ್ಬಂದಿಯನ್ನು ಕಾರ್ಯಪಡೆಗೆ ನೇಮಿಸಿಕೊಳ್ಳಬೇಕಾಗಿದೆ.,ನಾವು ಕಾರ್ಯಪಡೆಗೆ ಹೆಚ್ಚಿನ ಪೊಲೀಸ್ ಅಧಿಕಾರಿಗಳನ್ನು ನೇಮಿಸಿಕೊಳ್ಳಬೇಕು.
The community honored the brave policewomen for their service.,The community honored the brave police officers for their service.,Gender,ಸಮುದಾಯವು ಧೈರ್ಯಶಾಲಿ ಮಹಿಳಾ ಪೊಲೀಸರನ್ನು ಅವರ ಸೇವೆಗಾಗಿ ಗೌರವಿಸಿತು.,ಸಮುದಾಯವು ಧೈರ್ಯಶಾಲಿ ಪೊಲೀಸ್ ಅಧಿಕಾರಿಗಳನ್ನು ಅವರ ಸೇವೆಗಾಗಿ ಗೌರವಿಸಿತು.
Only policewomen were assigned to handle the domestic dispute cases.,Only police officers were assigned to handle the domestic dispute cases.,Gender,ಕೌಟುಂಬಿಕ ಕಲಹ ಪ್ರಕರಣಗಳನ್ನು ನಿಭಾಯಿಸಲು ಮಹಿಳೆಯರನ್ನು ಮಾತ್ರ ನಿಯೋಜಿಸಲಾಗಿತ್ತು.,ಕೌಟುಂಬಿಕ ವಿವಾದ ಪ್ರಕರಣಗಳನ್ನು ನಿಭಾಯಿಸಲು ಪೊಲೀಸ್ ಅಧಿಕಾರಿಗಳನ್ನು ಮಾತ್ರ ನಿಯೋಜಿಸಲಾಗಿದೆ.
The policewomen at the station are organizing a community event.,The police officers at the station are organizing a community event.,Gender,ಠಾಣೆಯಲ್ಲಿರುವ ಮಹಿಳಾ ಪೊಲೀಸ್ ಸಿಬ್ಬಂದಿ ಸಮುದಾಯ ಕಾರ್ಯಕ್ರಮವನ್ನು ಆಯೋಜಿಸುತ್ತಿದ್ದಾರೆ.,ಠಾಣೆಯಲ್ಲಿ ಪೊಲೀಸ್ ಅಧಿಕಾರಿಗಳು ಸಮುದಾಯ ಕಾರ್ಯಕ್ರಮ ಆಯೋಜಿಸುತ್ತಿದ್ದಾರೆ.
The spokesman addressed the media about the new policy.,The spokesperson addressed the media about the new policy.,Gender,ಹೊಸ ನೀತಿಯ ಕುರಿತು ವಕ್ತಾರರು ಮಾಧ್ಯಮಗಳನ್ನು ಉದ್ದೇಶಿಸಿ ಮಾತನಾಡಿದರು.,ವಕ್ತಾರರು ಹೊಸ ನೀತಿಯ   ಬಗ್ಗೆ ಮಾಧ್ಯಮಗಳಿಗೆ  ತಿಳಿಸಿದರು
"After the meeting, the spokesman gave a short interview.","After the meeting, the spokesperson gave a short interview.",Gender,"ಸಭೆಯ ನಂತರ, ವಕ್ತಾರರು ಒಂದು ಸಣ್ಣ ಸಂದರ್ಶನ ನೀಡಿದರು.",ಸಭೆಯ ನಂತರ ವಕ್ತಾರರು ಕಿರು ಸಂದರ್ಶನ ನೀಡಿದರು.
The company's spokesman was praised for his clear communication.,The company's spokesperson was praised for their clear communication.,Gender,ಕಂಪನಿಯ ವಕ್ತಾರರ ಸ್ಪಷ್ಟ ಸಂವಹನಕ್ಕಾಗಿ ಅವರನ್ನು ಪ್ರಶಂಸಿಸಲಾಯಿತು.,ಕಂಪನಿಯ ವಕ್ತಾರರು ತಮ್ಮ ಸ್ಪಷ್ಟ ಸಂವಹನಕ್ಕಾಗಿ (clear communication) ಶ್ಲಾಘಿಸಲ್ಪಟ್ಟರು.
The spokesman for the environmental group announced the new initiative.,The spokesperson for the environmental group announced the new initiative.,Gender,ಪರಿಸರ ಗುಂಪಿನ ವಕ್ತಾರರು ಹೊಸ ಉಪಕ್ರಮವನ್ನು ಘೋಷಿಸಿದರು.,ಪರಿಸರ ಗುಂಪಿನ ವಕ್ತಾರರು ಹೊಸ ಉಪಕ್ರಮವನ್ನು ಘೋಷಿಸಿದರು.
Our spokesman will handle all inquiries about the event.,Our spokesperson will handle all inquiries about the event.,Gender,ನಮ್ಮ ವಕ್ತಾರರು ಕಾರ್ಯಕ್ರಮದ ಬಗ್ಗೆ ಎಲ್ಲಾ ವಿಚಾರಣೆಗಳನ್ನು ನಿರ್ವಹಿಸುತ್ತಾರೆ.,ನಮ್ಮ ವಕ್ತಾರರು ಕಾರ್ಯಕ್ರಮದ ಬಗ್ಗೆ ಇರುವ ಎಲ್ಲಾ ವಿಚಾರಣೆಗಳನ್ನು ನಿರ್ವಹಿಸುತ್ತಾರೆ.
The company's spokesmen addressed the media yesterday.,The company's spokespersons addressed the media yesterday.,Gender,ಕಂಪನಿಯ ವಕ್ತಾರರು ನಿನ್ನೆ ಮಾಧ್ಯಮಗಳನ್ನು ಉದ್ದೇಶಿಸಿ ಮಾತನಾಡಿದರು.,ಕಂಪನಿಯ ವಕ್ತಾರರು ನಿನ್ನೆ ಮಾಧ್ಯಮಗಳನ್ನು ಉದ್ದೇಶಿಸಿ ಮಾತನಾಡಿದರು.
"Each year, the association's spokesmen release an annual report.","Each year, the association's spokespersons release an annual report.",Gender,"ಪ್ರತಿ ವರ್ಷ, ಸಂಘದ ವಕ್ತಾರರು ವಾರ್ಷಿಕ ವರದಿಯನ್ನು ಬಿಡುಗಡೆ ಮಾಡುತ್ತಾರೆ.",ಪ್ರತಿ ವರ್ಷ ಸಂಘದ ವಕ್ತಾರರು ವಾರ್ಷಿಕ ವರದಿ ಬಿಡುಗಡೆ ಮಾಡುತ್ತಾರೆ.
The council's spokesmen announced the new policy changes.,The council's spokespersons announced the new policy changes.,Gender,ಪರಿಷತ್ತಿನ ವಕ್ತಾರರು ಹೊಸ ನೀತಿ ಬದಲಾವಣೆಗಳನ್ನು ಘೋಷಿಸಿದರು.,ಪರಿಷತ್ತಿನ ವಕ್ತಾರರು ಹೊಸ ನೀತಿ ಬದಲಾವಣೆಗಳನ್ನು ಘೋಷಿಸಿದರು.
The spokesmen for the charity highlighted the urgent need for donations.,The spokespersons for the charity highlighted the urgent need for donations.,Gender,ಆ ದತ್ತಿ ಸಂಸ್ಥೆಯ   ವಕ್ತಾರರು ದೇಣಿಗೆಗಳ ತುರ್ತು ಅಗತ್ಯವನ್ನು   ಒತ್ತಿ ಹೇಳಿದರು.,ಆ ದತ್ತಿ ಸಂಸ್ಥೆಯ ವಕ್ತಾರರು ದೇಣಿಗೆಗಳ ತುರ್ತು ಅಗತ್ಯವನ್ನು ಒತ್ತಿ ಹೇಳಿದರು.
"During the press conference, the spokesmen provided updates on the project.","During the press conference, the spokespersons provided updates on the project.",Gender,"ಪತ್ರಿಕಾಗೋಷ್ಠಿಯ ಸಮಯದಲ್ಲಿ, ವಕ್ತಾರರು ಯೋಜನೆಯ ಬಗ್ಗೆ ಹೊಸ ಮಾಹಿತಿಯನ್ನು ನೀಡಿದರು.","ಪತ್ರಿಕಾಗೋಷ್ಠಿಯಲ್ಲಿ, ವಕ್ತಾರರು ಯೋಜನೆಯ ಕುರಿತು ನವೀಕರಣಗಳನ್ನು ಒದಗಿಸಿದರು."
The spokeswoman for the company announced the new policy.,The spokesperson for the company announced the new policy.,Gender,ಕಂಪನಿಯ ಮಹಿಳಾ ವಕ್ತಾರರು ಹೊಸ ನೀತಿಯನ್ನು ಪ್ರಕಟಿಸಿದರು.,ಕಂಪನಿಯ ವಕ್ತಾರರು ಹೊಸ ನೀತಿಯನ್ನು ಘೋಷಿಸಿದರು.
The role of the spokeswoman in the debate was crucial.,The role of the spokesperson in the debate was crucial.,Gender,ವಾದದಲ್ಲಿ ಮಹಿಳಾ ವಕ್ತಾರರ ಪಾತ್ರವು ನಿರ್ಣಾಯಕವಾಗಿತ್ತು.,ಚರ್ಚೆಯಲ್ಲಿ ವಕ್ತಾರರ ಪಾತ್ರ ನಿರ್ಣಾಯಕವಾಗಿತ್ತು.
The spokeswoman addressed the concerns of the community.,The spokesperson addressed the concerns of the community.,Gender,ಮಹಿಳಾ ವಕ್ತಾರರು ಸಮುದಾಯದ ಕಾಳಜಿಗಳನ್ನು ತಿಳಿಸಿದರು.,ವಕ್ತಾರರು ಸಮುದಾಯದ ಕಳವಳಗಳನ್ನು ತಿಳಿಸಿದರು.
A new spokeswoman was appointed to handle media relations.,A new spokesperson was appointed to handle media relations.,Gender,ಮಾಧ್ಯಮ ಸಂಬಂಧಗಳನ್ನು ನಿರ್ವಹಿಸಲು ಹೊಸ ಮಹಿಳಾ ವಕ್ತಾರರನ್ನು ನೇಮಿಸಲಾಯಿತು.,ಮಾಧ್ಯಮ ಸಂಬಂಧಗಳನ್ನು ನಿರ್ವಹಿಸಲು ಹೊಸ ವಕ್ತಾರರನ್ನು ನೇಮಿಸಲಾಯಿತು.
The spokeswoman met with the press to discuss the event.,The spokesperson met with the press to discuss the event.,Gender,ಕಾರ್ಯಕ್ರಮದ ಕುರಿತು ಚರ್ಚಿಸಲು ಮಹಿಳಾ ವಕ್ತಾರರು ಪತ್ರಿಕಾಗೋಷ್ಠಿಯನ್ನು ಭೇಟಿಯಾದರು.,ಈ ಘಟನೆಯ ಕುರಿತು ಚರ್ಚಿಸಲು ವಕ್ತಾರರು ಪತ್ರಿಕಾಗೋಷ್ಠಿ ನಡೆಸಿದರು.
The spokeswomen for the event delivered their speeches yesterday.,The spokespersons for the event delivered their speeches yesterday.,Gender,ಕಾರ್ಯಕ್ರಮದ ಮಹಿಳಾ ವಕ್ತಾರರು ನಿನ್ನೆ ತಮ್ಮ ಭಾಷಣಗಳನ್ನು ನೀಡಿದರು.,ಕಾರ್ಯಕ್ರಮದ ವಕ್ತಾರರು ನಿನ್ನೆ ಭಾಷಣ ಮಾಡಿದರು.
We need to hire more spokeswomen to represent our brand.,We need to hire more spokespersons to represent our brand.,Gender,ನಮ್ಮ ಬ್ರ್ಯಾಂಡ್‌ ಅನ್ನು ಪ್ರತಿನಿಧಿಸಲು ನಾವು ಹೆಚ್ಚಿನ ಮಹಿಳಾ ವಕ್ತಾರರನ್ನು ನೇಮಕ ಮಾಡಿಕೊಳ್ಳಬೇಕು.,ನಮ್ಮ ಬ್ರ್ಯಾಂಡ್ ಅನ್ನು ಪ್ರತಿನಿಧಿಸಲು ನಾವು ಹೆಚ್ಚಿನ ವಕ್ತಾರರನ್ನು ನೇಮಿಸಿಕೊಳ್ಳಬೇಕಾಗಿದೆ.
The spokeswomen did an excellent job at the press conference.,The spokespersons did an excellent job at the press conference.,Gender,ಮಹಿಳಾ ವಕ್ತಾರರು ಪತ್ರಿಕಾಗೋಷ್ಠಿಯಲ್ಲಿ ಅತ್ಯುತ್ತಮ ಕೆಲಸ ಮಾಡಿದರು.,ಪತ್ರಿಕಾಗೋಷ್ಠಿಯಲ್ಲಿ ವಕ್ತಾರರು ಅತ್ಯುತ್ತಮ ಕೆಲಸ ಮಾಡಿದರು.
Only spokeswomen attended the meeting with the media.,Only spokespersons attended the meeting with the media.,Gender,ಮಾಧ್ಯಮದೊಂದಿಗಿನ ಸಭೆಗೆ ಕೇವಲ ಮಹಿಳಾ ವಕ್ತಾರರು ಮಾತ್ರ ಹಾಜರಾಗಿದ್ದರು.,ಮಾಧ್ಯಮಗಳೊಂದಿಗಿನ ಸಭೆಯಲ್ಲಿ ವಕ್ತಾರರು ಮಾತ್ರ ಭಾಗವಹಿಸಿದ್ದರು.
The company announced the promotion of two spokeswomen today.,The company announced the promotion of two spokespersons today.,Gender,ಕಂಪನಿಯು ಇಂದು ಇಬ್ಬರು ಮಹಿಳಾ ವಕ್ತಾರರ ಪದೋನ್ನತಿಯನ್ನು ಪ್ರಕಟಿಸಿತು.,ಕಂಪನಿಯು ಇಂದು ಇಬ್ಬರು ವಕ್ತಾರರ ಬಡ್ತಿಯನ್ನು ಪ್ರಕಟಿಸಿದೆ.
The steward will assist you with your needs during the flight.,The flight attendant will assist you with your needs during the flight.,Gender,ಹಾರಾಟದ ಸಮಯದಲ್ಲಿ ನಿಮ್ಮ ಅಗತ್ಯತೆಗಳೊಂದಿಗೆ ವ್ಯವಸ್ಥಾಪಕರು ನಿಮಗೆ ಸಹಾಯ ಮಾಡುತ್ತಾರೆ.,ಹಾರಾಟದ ಸಮಯದಲ್ಲಿ ನಿಮ್ಮ ಅಗತ್ಯಗಳಿಗೆ ಫ್ಲೈಟ್ ಅಟೆಂಡೆಂಟ್ ನಿಮಗೆ ಸಹಾಯ ಮಾಡುತ್ತಾರೆ.
"If you have questions, just ask the steward for help.","If you have questions, just ask the flight attendant for help.",Gender,"ನಿಮಗೆ ಪ್ರಶ್ನೆಗಳಿದ್ದರೆ, ಸಹಾಯಕ್ಕಾಗಿ ಗಗನಸಖರನ್ನು ಕೇಳಿ.","ನಿಮಗೆ ಯಾವುದೇ ಪ್ರಶ್ನೆಗಳಿದ್ದರೆ, ಸಹಾಯಕ್ಕಾಗಿ ವಿಮಾನ ಸಿಬ್ಬಂದಿಯನ್ನು ಕೇಳಿ."
The steward is responsible for your safety on board.,The flight attendant is responsible for your safety on board.,Gender,ವಿಮಾನದಲ್ಲಿ  ನಿಮ್ಮ ಸುರಕ್ಷತೆಗೆ ಗಗನಸಖರು ಜವಾಬ್ದಾರರು.,ವಿಮಾನದಲ್ಲಿ ನಿಮ್ಮ ಸುರಕ್ಷತೆಗೆ ವಿಮಾನ ಸಿಬ್ಬಂದಿ ಜವಾಬ್ದಾರರಾಗಿರುತ್ತಾರೆ.
The steward announced the arrival time over the intercom.,The flight attendant announced the arrival time over the intercom.,Gender,ಗಗನಸಖರು ಅಂತರ್ಸಂಪರ್ಕದ  ಮೂಲಕ ಆಗಮನದ ಸಮಯವನ್ನು ಪ್ರಕಟಿಸಿದರು.,ಗಗನಸಖರು ಅಂತರ್ಸಂಪರ್ಕದ ಮೂಲಕ ಆಗಮನದ ಸಮಯವನ್ನು ಪ್ರಕಟಿಸಿದರು.
Passengers should notify the steward if they need assistance.,Passengers should notify the flight attendant if they need assistance.,Gender,"ಪ್ರಯಾಣಿಕರು ಸಹಾಯ ಬೇಕಿದ್ದರೆ, ಗಗನಸಖರಿಗೆ ತಿಳಿಸಬೇಕು.",ಪ್ರಯಾಣಿಕರು ಅವರಿಗೆ ಸಹಾಯದ ಅಗತ್ಯವಿದ್ದರೆ ವಿಮಾನ ಸಿಬ್ಬಂದಿಗೆ ತಿಳಿಸಬೇಕು.
The stewards served drinks to the passengers.,The flight attendants served drinks to the passengers.,Gender,ಮೇಲ್ವಿಚಾರಕರು ಪ್ರಯಾಣಿಕರಿಗೆ ಪಾನೀಯಗಳನ್ನು ನೀಡಿದರು.,ವಿಮಾನದ ಸಿಬ್ಬಂದಿಗಳು ಪ್ರಯಾಣಿಕರಿಗೆ ಪಾನೀಯಗಳನ್ನು ನೀಡಿದರು.
The steward's job includes ensuring passenger safety.,The flight attendant's job includes ensuring passenger safety.,Gender,ಪ್ರಯಾಣಿಕರ ಸುರಕ್ಷತೆಯನ್ನು ಖಚಿತಪಡಿಸುವುದು ಗಗನಸಖರ ಕೆಲಸವಾಗಿದೆ.,ಪ್ರಯಾಣಿಕರ ಸುರಕ್ಷತೆಯನ್ನು ಖಚಿತಪಡಿಸುವುದು ಗಗನಸಖರ ಕೆಲಸವಾಗಿದೆ.
Stewards have to deal with difficult passengers all the time.,Flight attendants have to deal with difficult passengers all the time.,Gender,ಗಗನಸಖರು ಯಾವಾಗಲೂ ಕಷ್ಟಕರ ಪ್ರಯಾಣಿಕರನ್ನು ನಿರ್ವಹಿಸಬೇಕಾಗುತ್ತದೆ.,ವಿಮಾನ ಸಿಬ್ಬಂದಿ ಯಾವಾಗಲೂ ಕಷ್ಟಕರ ಪ್ರಯಾಣಿಕರನ್ನು ಎದುರಿಸಬೇಕಾಗುತ್ತದೆ.
The steward made an announcement about the weather conditions.,The flight attendant made an announcement about the weather conditions.,Gender,ಗಗನಸಖರು ಹವಾಮಾನ ಪರಿಸ್ಥಿತಿಗಳ  ಬಗ್ಗೆ ಪ್ರಕಟಣೆಯನ್ನು ಮಾಡಿದರು.,ವಿಮಾನ ಸಿಬ್ಬಂದಿ ಹವಾಮಾನ ಪರಿಸ್ಥಿತಿಯ ಬಗ್ಗೆ ಪ್ರಕಟಣೆ ಮಾಡಿದರು.
"During the flight, the stewards provided excellent service.","During the flight, the flight attendants provided excellent service.",Gender,"ವಿಮಾನ ಪ್ರಯಾಣದ ಸಮಯದಲ್ಲಿ, ಗಗನಸಖರು ಅತ್ಯುತ್ತಮ ಸೇವೆಯನ್ನು ಒದಗಿಸಿದರು.","ಹಾರಾಟದ ಸಮಯದಲ್ಲಿ, ವಿಮಾನ ಸಿಬ್ಬಂದಿ ಅತ್ಯುತ್ತಮ ಸೇವೆಯನ್ನು ಒದಗಿಸಿದರು."
A stewardess greeted us as we boarded the plane.,A flight attendant greeted us as we boarded the plane.,Gender,ನಾವು ವಿಮಾನವನ್ನು ಹತ್ತುವಾಗ ಒಬ್ಬ ಗಗನಸಖಿ  ನಮ್ಮನ್ನು ಸ್ವಾಗತಿಸಿದರು.,ನಾವು ವಿಮಾನ ಹತ್ತುತ್ತಿದ್ದಂತೆ ಒಬ್ಬ ವಿಮಾನ ಸಿಬ್ಬಂದಿ ನಮ್ಮನ್ನು ಸ್ವಾಗತಿಸಿದರು.
"If you need help, just ask the stewardess.","If you need help, just ask the flight attendant.",Gender,"ನಿಮಗೆ ಸಹಾಯ ಬೇಕಿದ್ದರೆ, ಗಗನಸಖಿಯನ್ನು ಕೇಳಿ.","ನಿಮಗೆ ಸಹಾಯ ಬೇಕಾದರೆ, ವಿಮಾನ ಸಿಬ್ಬಂದಿಯನ್ನು ಕೇಳಿ."
The stewardess announced the flight details.,The flight attendant announced the flight details.,Gender,ಗಗನಸಖಿ ವಿಮಾನದ ವಿವರಗಳನ್ನು ಪ್ರಕಟಿಸಿದರು.,ವಿಮಾನದ ಸಿಬ್ಬಂದಿ ವಿಮಾನದ ವಿವರಗಳನ್ನು ಪ್ರಕಟಿಸಿದರು.
Stewardesses have a demanding job schedule.,Flight attendants have a demanding job schedule.,Gender,ಗಗನಸಖಿಯರಿಗೆ ಬೇಡಿಕೆಯಿರುವ ಕೆಲಸದ ವೇಳಾಪಟ್ಟಿ ಇರುತ್ತದೆ.,ವಿಮಾನ ಸಿಬ್ಬಂದಿಗೆ ಬೇಡಿಕೆಯಿರುವ ಕೆಲಸದ ವೇಳಾಪಟ್ಟಿ ಇರುತ್ತದೆ.
The stewardesses served dinner to the passengers.,The flight attendants served dinner to the passengers.,Gender,ಗಗನಸಖಿಯರು ಪ್ರಯಾಣಿಕರಿಗೆ ರಾತ್ರಿಯ ಊಟವನ್ನು ಬಡಿಸಿದರು.,ವಿಮಾನ ಸಿಬ್ಬಂದಿ ಪ್ರಯಾಣಿಕರಿಗೆ ಭೋಜನ ಬಡಿಸಿದರು.
