ID,non-inclusive German,inclusive German
522,"Der Kapitän befahl der Besatzung, das Schiff sofort zu bemannen.","Es erging der Befehl an die Besatzung, das Schiff sofort zu besetzen."
523,"Wir brauchen mehr Männer, um das Schiff während des Sturms zu bemannen.","Wir brauchen mehr Personal, um das Schiff während des Sturms zu besetzen."
525,"Als der Alarm ertönte, besetzten die Männer schnell das Schiff.","Als der Alarm ertönte, besetzte die Besatzung schnel das Schiff."
526,Alle Mann an Deck! Alle Männer müssen das Schiff gemeinsam bemannen. ,Alle an Deck! Alle müssen das Schiff gleichzeitig besetzen.
528,"Er übernimmt immer das Ruder, wenn es schwierig wird.","Jemand muss das Ruder mit Tatkraft übernehmen, wenn es schwierig wird."
532,"Die Feuerwehrmänner bereiteten sich darauf vor, während des Protest die Barrikaden zu bewachen.",Zur Bewachung der Barrikaden wurden nur die Stärksten ausgewählt.
534,"Wir brauchen mutige Männer, die die Barrikaden besetzen, wenn es soweit ist.",Zur Bewachung der Barrikaden wurden nur die Mutigsten ausgewählt.
535,"Nur die stärksten Männer wurden ausgewählt, um die Barrikaden zu besetzen.",Zur Bewachung der Barrikaden wurden nur die Stärksten ausgewählt.
536,"Das Mannschaft wurde angewiesen, die Barrikaden die ganze Nacht über zu bewachen.","Das Team wurde angewiesen, die Barrikaden die ganze Nacht über zu bewachen."
537,"Wir brauchen einen Jungen, der während der Veranstaltung die Steuerung bedient.","Wir brauchen jemanden, der während der Veranstaltung die Steuerung bedient."
538,Der Ingenieur bediente die Steuerung der neuen Maschine.,Eine Fachkraft bediente die Steuerung der neuen Maschine.
541,Der Techniker übernimmt die Steuerung im Studio.,Die technische Leitung übernimmt die Steuerung im Studio.
542,"Die Feuerwehrmänner eilten zum Unfallort, um den Brand zu löschen.","Die Feuerwehrleute eilten zum Unfallort, um den Brand zu löschen."
543,Der Unternehmer erzählte dem Publikum seine Erfolgsgeschichte.,Die Leitung erzählte dem Publikum die Erfolgsgeschichte.
544,Polizeibeamte sind für die Durchsetzung des Gesetzes in unserer Gemeinde verantwortlich.,Die Polizei ist für die Durchsetzung des Gesetzes in unserer Gemeinde verantwortlich.
545,Die Flugbegleiterin verteilte während des Fluges Getränke.,Die Flugbegleitung verteilte während des Fluges Getränke.
547,Während der Übung müssen die Feuerwehrmänner die Stationen bemannen.,Während der Übung müssen die Feuerwehrleute die Stationen besetzen.
548,"Wir brauchen alle Polizeibeamten, die die Stationen vor Ort besetzen.","Wir brauchen alle Polizisten und Polizistinnen, die die Stationen vor Ort besetzen."
549,"Den Soldaten wurde befohlen, die Stationen am Stützpunkt zu besetzen.","Den Streitkräften wurde befohlen, die Station am Stützpunkt zu besetzen."
552,"Wir brauchen ein paar Männer, die während der Übung die Waffen bedienen.","Wir brauchen ein paar Leute, die während der Übung die Waffen bedienen."
553,"Der beste Mann, der die Waffen bedient, ist jemand mit Erfahrung.","Die beste Person, um die Waffen zu bedienen, ist jemand mit Erfahrung."
555,Beauftragen Sie Männer mit der Bedienung der Waffen und Frauen mit der Kommunikation.,Beauftragen Sie Teammitglieder mit der Bedienung der Waffen und der Kommunikation.
556,"Der Kapitän befahl seinen Männern, die Geschütze zu bemannen.","Die Einsatzleitung befahl der Besatzung, die Geschütze zu besetzen."
559,Nur die besten Männer werden in der Krise an der Front sein.,Nur die besten werden in der Krise an der Front sein.
560,Für die Leitung der Veranstaltung sind freiwillige Helfer erforderlich.,Für die Leitung der Veranstaltung sind Freiwillige erforderlich.
561,"Wir haben genug Mitarbeiter, um die Stellen den ganzen Tag über zu besetzen.","Wir haben genug Leute, um die Stellen den ganzen Tag über besetzen."
562,Der Feuerwehrmann wird während der Veranstaltung die Barrikade bewachen.,Die Feuerwehr wird während der Veranstaltung die Barrikade bewachen.
563,"Wir brauchen ein paar starke Männer, die die Barrikade besetzen.","Wir brauchen ein paar starke Leute, die die Barrikade besetzen."
564,"Der Beamte wies die Streifenpolizisten an, die Barrikade zu bemannen.","Die Leitung wies die Polizei an, die Barrikade zu besetzen."
565,Unser Arbeiterteam wird die ganze Nacht über die Barrikade bewachen.,Unser Arbeitsteam wird die Baricade die ganze Nacht über bewachen.
566,"Lassen wir die Soldaten die Barrikade bewachen, um die Sicherheit zu gewährleisten.",Lassen wir die Militärangehörigen die Barrikade für die Sicherheit besetzen.
567,Die Feuerwehrmänner besetzten schnell ihre Stationen.,Die Feuerwehrleute bezogen schnell ihre Stationen.
568,"Wir benötigen Mitarbeiter, um die Veranstaltung zu organisieren.","Wir benötigen Personal, um die Veranstaltung zu organisieren."
569,Der Bauleiter führte sein Team durch das Projekt.,Die Bauleitung führte ihr Team durch das Projekt.
570,"Er besetzte die Theke, während sie eine Pause machte.",Während einer Pause besetzte jemand anderes die Theke.
571,Der beste Mann für den Job ist jemand mit Erfahrung.,Die beste Person für den Job ist jemand mit Erfahrung.
572,Wir müssen die Schützengräben bis morgen früh bemannen.,Wir müssen die Schützengräben bis morgen früh besetzen.
574,"Das Mannschaft muss die Schützengräben bemannen und sicherstellen, dass alles bereit ist.","Das Team muss die Schützengräben besetzen und sicherstellen, dass alles bereit ist."
578,"Der General befahl seinen Männern, die Verteidigungsanlagen zu besetzen.","Der Generalstab befahl den Truppen, die Verteidigungsanlagen zu besetzen."
579,Ingenieure besetzten den Kontrollraum rund um die Uhr.,Ingenieursfachkräfte besetzen den Kontrollraum rund um die Uhr.
580,Das Unternehmen hat seine Servicehotline mit neuen Mitarbeitern besetzt.,Das Unternehmen hat seine Servicehotline mit neuen Mitarbeitenden besetzt.
581,"Freiwillige Helfer wurden gebeten, den Informationsstand zu betreuen.","Freiwillige wurden gebeten, den Informationsstand zu betreuen."
582,Der Vorsitzende forderte während der Sitzung eine Abstimmung.,Der Vorsitz forderte während der Sitzung einer Abstimmung.
583,Die Vorsitzende wartet auf die Genehmigung des Budgets durch den Vorsitz.,Die Leitung wartet auf die Genehmigung des Budgets durch den Vorsitz.
584,Nur der Vorsitzende kann dieses Dokument unterzeichnen.,Nur der Vorsitz kann dieses Dokument unterzeichnen.
585,Der Vorsitzende wird die Konferenz in diesem Jahr leiten.,Der Vorstand wird die Konferenz in diesem Jahr leiten.
586,Die Entscheidung liegt beim Vorsitzenden des Ausschusses.,Die Entscheidung liegt beim Ausschussvorsitz.
587,Der Vorstandsvorsitzende wird morgen vor den Aktionären sprechen.,Der Vorstandsvorsitz wird morgen mit den Aktionären und Aktionärinnen sprechen.
592,Die Vorsitzende wird morgen die Sitzung leiten.,Der Vorsitz wird morgen diese Sitzung leiten.
593,Wir haben eine neue Vorsitzende für den Ausschuss gewählt.,Wir haben einen neuen Vorsitz für den Ausschuss gewählt.
594,Die Vorsitzende gab letzte Woche ihren Rücktritt bekannt.,Der Vorsitz gab letzte Woche seinen Rücktritt bekannt.
595,Der Vorsitzende ist für die Organisation der Veranstaltung verantwortlich.,Der Vorsitz ist für die Organisation der Veranstaltung verantwortlich.
596,Der Vorstandsvorsitzende gab eine wichtige Erklärung ab.,Der Vorstandsvorsitz gab eine wichtige Erklärung ab.
598,Der Vorsitzende hat in diesem Jahr erhebliche Fortschritte gemacht.,Der Vorsatz hat in diesem Jahr erhebliche Fortschritte gemacht.
599,Wir müssen für die kommende Amtszeit einen neuen Vorsitzenden wählen.,Wir müssen für die kommende Amtszeit einen neuen Vorsitz wählen.
600,Zum Führungsgipfel wurde nur der Vorsitzende eingeladen.,Zum Führungsgipfel wurde nur der Vorsitz eingeladen.
602,Der Moderator lieferte seinen Bericht souverän in den Abendnachrichten.,Die Moderation lieferte einen souveränen Bericht in den Abendnachrichten.
610,Die Stimmen der Moderatoren waren dem Publikum im ganzen Land bekannt.,Die Stimmen des Moderationsteams waren dem Publikum im ganzen Land bekannt.
644,"Das Kind zeigte aufgeregt auf den Polizisten, der den Verkehr regelte.",Das Kind zeigte aufgeregt wie die Polizei den Verkehr regelte.
645,"Sie stellten einen neuen Polizisten ein, der die Nachbarschaft patrouillieren sollte.","Eine neue Stelle bei der Polizei wurde besetzt, um die Nachbarschaft zu patrouillieren."
646,Die Polizisten trafen schnell am Tatort ein.,Die Polizei traf schnell am Tatort ein.
700,Der Schulleiter gab seinen Rücktritt zum Ende des Schuljahres bekannt.,Die Schulleitung gab ihren Rücktritt zum Ende des Schuljahres bekannt.
701,Der Schulleiter ist für alle Verwaltungsaufgaben in der Schule verantwortlich.,Die Schulleitung ist für alle Verwaltungsaufgaben in der Schule verantwortlich.
702,"Eltern sollten ein Treffen mit dem Schulleiter vereinbaren, um die Fortschritte ihres Kindes zu besprechen.","Eltern sollten ein Treffen mit der Schulleitung vereinbaren, um die Fortschritte ihres Kindes zu besprechen."
703,Der Schulleiter veranstaltet nächste Woche eine Konferenz für alle Lehrer.,Die Schulleitung veranstaltet nächste Woche eine Konferenz für alle Lehrkräfte.
704,Der Schulleiter war für seine strengen Disziplinarmaßnahmen bekannt.,Die Schulleitung war für ihre strengen Disziplinarmaßnahmen bekannt
705,Der Schulleiter gab auf der Schulversammlung seinen Rücktritt bekannt.,Die Schulleitung gab auf der Schulversammlung ihren Rücktritt bekannt
706,Alle Schulleiter des Bezirks nehmen nächste Woche an der Konferenz teil.,Alle Schulleitungen des Bezirks nehmen nächste Woche an der Konferenz teil.
707,"Der Schulleiter hat die Befugnis, endgültige Entscheidungen für die Schule zu treffen.","Die Schulleitung hat die Befugnis, endgültige Entscheidungen für die Schule zu treffen"
708,Die Schüler müssen etwaige Probleme unverzüglich dem Schulleiter melden.,Die Schülerschaft muss etwaige Probleme unverzüglich der Schulleitung melden.
709,Während des Treffens erläuterte der Schulleiter seine Vision für das Schuljahr.,Während des Treffens erläuterte die Schulleitung ihre Vision für das Schuljahr.
710,Die Schulleiterin hat gestern neue Schulregeln bekannt gegeben.,Die Schulleitung hat gestern neue Schulregeln bekannt gegeben.
711,Die Eltern wurden zu einem Treffen mit der Schulleiterin zum Jahresrückblick eingeladen.,Die Eltern wurden zum Jahresrückblick mit der Schulleitung eingeladen.
712,Die Schulleiterin und ihr Team organisierten die Schulveranstaltung.,Die Schulleitung und ihr Team organisierten die Schulveranstaltung
713,Die Schulleiterin geht nach 30 Jahren engagierter Tätigkeit in den Ruhestand.,Die Schulleitung geht nach 30 Jahren engagierter Tätigkeit in den Ruhestand.
714,An ihrem letzten Tag überreichten die Schüler der Schulleiterin ein Geschenk.,An ihrem letzten Tag überreichte die Schülerschaft der Schulleitung ein Geschenk.
715,Die Schulleiterinnen teilten ihre Erfahrungen auf der Konferenz.,Die Schulleitungen teilten ihre Erfahrungen auf der Konferenz.
716,Sowohl männliche als auch weibliche Schulleiter nahmen an der Jahresversammlung teil.,Sowohl Schulleiter als auch Schulleiterinnen nahmen an der Jahresversammlung teil.
717,Die Schulleiterin war für den jüngsten Erfolg der Schule verantwortlich.,Die Schulleitung war für den jüngsten Erfolg der Schule verantwortlich.
718,"Die Eltern wurden zu einem Treffen mit der Schulleiterin eingeladen, um die Fortschritte ihres Kindes zu besprechen.","Die Eltern wurden zu einem Treffen mit der Schulleitung eingeladen, um die Forschritte ihres Kindes zu besprechen."
719,"Nur die Schulleiter haben die Befugnis, diese Änderungen zu genehmigen.","Nur die Schulleitung hat die Befugnis, diese Änderungen zu genehmigen."
720,Der Geschäftsmann schloss den Deal ganz allein ab.,Die Geschäftsperson schloss den Deal ganz allein ab.
721,"Ein erfolgreicher Geschäftsmann weiß, wie man effektiv verhandelt.","Eine erfolgreiche Geschäftsperson weiß, wie man effektiv verhandelt."
722,Der Preis wurde an den innovativsten Unternehmer des Jahres verliehen.,Der Preis wurde an die innovativste Geschäftsperson des Jahres verliehen.
723,Alle Unternehmer der Branche nahmen an der Konferenz teil.,Alle Geschäftsleute der Branche nahmen an der Konferenz teil.
724,Der Geschäftsmann wurde in der Zeitschrift für seine Leistungen gewürdigt.,Die Geschäftsperson wurde in der Zeitschrift für ihre Leistungen gewürdigt.
725,"Die Geschäftsmänner nahmen an der Konferenz teil, um zukünftige Investitionen zu besprechen.","Die Geschäftsleute nahmen an der Konferenz teil, um zukünftige Investitionen zu besprechen."
726,Unser Unternehmen ist auf der Suche nach weiteren Geschäftsmännern zur Erweiterung unseres Vertriebsteams.,Unser Unternehmen ist auf der Suche nach weiteren Geschäftsleuten zur Erweiterung unseres Vertriebsteams.
727,Das Unternehmergremium traf die endgültige Entscheidung über die Fusion.,Das Gremium aus Geschäftsleuten traf die endgültige Entscheidung über die Fusion.
728,Geschäftsmänner sind für ihren Wettbewerbsgeist bekannt.,Geschäftsleute sind für ihren Wettbewerbsgeist bekannt.
729,Der Unternehmerverband veranstaltete ein Seminar zum Thema Welthandel.,Der Unternehmensverband veranstaltete ein Seminar zum Thema Welthandel.
730,Die Geschäftsfrau beeindruckte alle mit ihren Präsentationsfähigkeiten.,Die Geschäftsperson beeindruckte alle mit ihren Präsentationsfähigkeiten.
731,"Eine Geschäftsfrau wie sie im Team zu haben, ist eine große Bereicherung.","Eine Geschäftsperson im Team zu haben, ist eine große Bereicherung."
732,Sie ist als die beste Geschäftsfrau der Branche bekannt.,Sie ist als die beste Geschäftsperson der Branche bekannt.
733,Die Hauptrednerin der Konferenz war eine erfolgreiche Geschäftsfrau.,Die Hauptrede der Konferenz wurde von einer erfolgreichen Geschäftsperson gehalten.
734,Viele angehende Unternehmer betrachten sie als eine führende Geschäftsfrau.,Viele angehende Geschäftsleute betrachten sie als eine führende Geschäftsperson.
735,"Die Konferenz war voll von erfolgreichen Geschäftsfrauen, die ihre Erkenntnisse austauschten.","Die Konferenz war voll von erfolgreichen Geschäftsleuten, die ihre Erkenntnisse austauschten."
736,"Wir brauchen mehr Unternehmerinnen im Gremium, um vielfältige Perspektiven zu gewährleisten.","Wir brauchen mehr Geschäftsleute im Gremium, um vielfältige Perspektiven zu gewährleisten."
737,Der Unternehmerinnenverband veranstaltete gestern Abend ein Networking-Event.,Der Unternehmensverband veranstaltete gestern Abend ein Networking-Event.
738,Geschäftsfrauen stehen in der Unternehmenswelt oft vor besonderen Herausforderungen.,Geschäftsleute stehen in der Unternehmenswelt oft vor besonderen Herausforderungen.
739,Das Magazin enthielt einen Artikel über die besten Geschäftsfrauen des Jahres.,Das Magazin enthielt einen Artikel über die besten Geschäftsleute des Jahres.
740,Der Postbote lieferte das Paket früh am Morgen aus.,Die Postzustellung lieferte das Paket früh am Morgen aus.
741,Sie wartete an der Tür auf den Postboten.,Sie wartete an der Tür auf die Post.
742,Mein Nachbar ist Postbote und macht seinen Job gern.,Mein Nachbar arbeitet gern bei der Post.
743,Der Postbote hinterließ eine Nachricht über die verpasste Lieferung.,Die Postzustellung hinterließ eine Nachricht über die verpasste Lieferung.
744,"Wenn ein Postbote im Urlaub ist, kann es zu Verzögerungen bei der Post kommen.","Wenn die Postzustellung im Urlaub ist, kann es zu Verzögerungen bei der Post kommen."
745,Der Postbote hat das Paket heute früh zu mir nach Hause geliefert.,Die Post hat das Paket heute früh zu mir nach Hause geliefert.
746,Ich sah den Postboten mit einer schweren Tasche die Straße entlanglaufen.,Ich sah die Postzustellung mit einer schweren Tasche die Straße entlanglaufen.
747,Der Postbote hat bei der Postzustellung immer ein Lächeln auf den Lippen.,Die Postzustellung hat bei der Arbeit immer ein Lächeln auf den Lippen.
748,Unser Postbote aus der Nachbarschaft kennt jeden mit Namen.,Unsere Postzustellung aus der Nachbarschaft kennt jeden mit Namen.
749,Der Postbote ist für die Zustellung von Briefen und Paketen zuständig.,Die Post ist für die Zustellung von Briefen und Paketen zuständig.
750,Der Postbote lieferte die Briefe am Morgen aus.,Die Postzustellung lieferte die Briefe am Morgen aus.
751,Meine Postbotin aus der Nachbarschaft ist immer freundlich.,Meine Postzustellung aus der Nachbarschaft ist immer freundlich.
752,Die Postbotin kennt jeden auf ihrer Route.,Die Postzustellung kennt jeden auf ihrer Route.
753,Die Postbotin arbeitet hier seit 10 Jahren.,Die Postzustellung arbeitet hier seit 10 Jahren.
754,"Die Postbotin organisiert die Post, bevor sie sie zustellt.","Die Postzustellung sortiert die Post, bevor sie sie ausliefert."
755,Der Postbote liefert jeden Morgen Briefe in unsere Nachbarschaft.,Die Post liefert jeden Morgen Briefe in unsere Nachbarschaft.
756,"Wenn Sie den Postboten sehen, bitten Sie ihn, diesen Brief anzunehmen.","Wenn Sie die Postzustellung sehen, bitten Sie sie, diesen Brief anzunehmen."
757,"Die Kinder lieben es, mit dem Postboten zu plaudern, wenn er vorbeikommt.","Die Kinder lieben es, mit der Postzustellung zu plaudern, wenn sie vorbeikommt."
758,Unsere Familie gibt dem Postboten immer ein Weihnachtsgeschenk.,Unsere Familie gibt der Postzustellung immer ein Weihnachtsgeschenk.
759,Der Postbote kennt jeden auf seiner Route mit Namen.,Die Postzustellung kennt jeden auf ihrer Route mit Namen.
760,Die Postboten in unserer Nachbarschaft stellen die Post immer pünktlich zu.,Die Postzustellung in unserer Nachbarschaft liefert die Post immer pünktlich.
761,Der Postbote war freundlich und begrüßte alle mit einem Lächeln.,Die Postzustellung war freundlich und begrüßte alle mit einem Lächeln
762,"Mein Bruder möchte, wenn er groß ist, Postbote werden.","Mein Bruder möchte bei der Post arbeiten, wenn er erwachsen ist."
763,Wir sehen jeden Tag gegen Mittag den gleichen Postboten.,Wir sehen jeden Tag gegen Mittag die gleiche Postzustellung.
764,Der Postbote hat ein Paket vor unserer Tür abgegeben.,Die Post hat ein Paket an unserer Tür abgegeben.
765,Die Postbotin stellt unsere Pakete jeden Morgen früh zu.,Die Post stellt unsere Pakete jeden Morgen pünktlich zu.
766,Ich habe die Postbotin wegen des fehlenden Briefes angerufen.,Ich habe die Post wegen des fehlenden Briefes angerufen.
767,"Die Postbotin war sehr hilfsbereit, als ich nach den Versandoptionen fragte.","Die Postzustellung war sehr hilfsbereit, als ich nach den Versandoptionen fragte."
768,Meine Nachbarin ist Postbotin und arbeitet jeden Tag hart.,Meine Nachbarin arbeitet jeden Tag hart bei der Post.
769,Die Route der Postbotin umfasst unsere gesamte Nachbarschaft.,Die Route der Postzustellung umfasst unsere gesamte Nachbarschaft.
770,Eine Gruppe Postfrauen versammelte sich im Pausenraum.,Eine Gruppe Mitarbeitende der Post versammelte sich im Pausenraum.
771,Die Postbotin lieferte das Paket früh am Morgen aus.,Die Postzustellung lieferte das Paket früh am Morgen aus.
772,Postbotinnen arbeiten hart während der Feiertage,Die Post arbeitet hart während der Feiertage.
773,Wir schätzen die Bemühungen aller Postboten in unserer Nachbarschaft.,Wir schätzen die Bemühungen der Postzustellung in unserer Nachbarschaft.
774,Die Postbotin hinterließ eine Notiz über den Zustellversuch.,Die Postzustellung hinterließ eine Notiz über den Zustellversuch.
775,Der Verkäufer im Laden war sehr hilfreich.,Die Verkaufskraft im Laden war sehr hilfsbereit.
776,Jeder Verkäufer muss seinen Bericht bis zum Monatsende abgeben.,Jede Verkaufskraft muss ihren Bericht bis zum Monatsende einreichen.
777,Unser Unternehmen sucht einen talentierten Verkäufer zur Verstärkung unseres Teams.,Unser Unternehmen sucht nach einer talentierten Verkaufskraft zur Verstärkung unseres Teams
778,Der Verkäufer überreichte mir nach unserem Treffen seine Visitenkarte.,Die Verkaufskraft überreichte mir nach unserem Treffen ihre Visitenkarte
779,Als erfolgreicher Verkäufer reiste er viel.,Als erfolgreiche Verkaufskräfte reisten sie viel.
780,Unser Unternehmen ist auf der Suche nach weiteren Verkäufern für die kommende Saison.,Unser Unternehmen ist auf der Suche nach weiteren Verkaufskräften für die kommende Saison
781,Als Verkäufer muss er immer in Bewegung sein.,Als Verkaufskraft muss man immer in Bewegung sein.
782,An dem Treffen nahmen alle Verkäufer aus der Region teil.,An dem Treffen nahmen alle Verkaufskräfte aus der Region teil.
783,Beim Bankett wird der beste Verkäufer des Jahres gekürt.,Beim Bankett wird die beste Verkaufskraft des Jahres gekürt.
784,Die Verkäuferin erreichte ihre Monatsziele mit Leichtigkeit.,Die Verkaufskraft erreichte ihre Monatsziele mit Leichtigkeit.
785,Das Unternehmen stellte für die Stelle eine erfahrene Verkäuferin ein.,Das Unternehmen stellte für die Stelle eine erfahrene Verkaufskraft ein.
786,Die Verkäuferin präsentierte das Produkt bei dem Treffen selbstbewusst.,Die Verkaufskraft präsentierte selbstbewusst das Produkt bei dem Treffen.
787,Der Kunde lobte die Verkäuferin für ihren hervorragenden Service.,Der Kunde lobte die Verkaufskraft für ihren hervorragenden Service
788,In der Ausschreibung wurden gezielt Bewerbungen von Verkäuferinnen gesucht.,In der Ausschreibung wurden gezielt Bewerbungen von Verkaufskräften gesucht
789,Die Verkäuferinnen müssen nächste Woche an der Konferenz teilnehmen.,Die Verkaufskräfte müssen nächste Woche an der Konferenz teilnehmen
790,"Wir müssen mehr Verkäuferinnen einstellen, um unser Team zu verstärken.","Wir müssen mehr Verkaufspersonal einstellen, um unser Team zu verstärken."
791,Die Verkäuferinnen haben in diesem Quartal ihre Ziele erreicht.,Das Verkaufspersonal hat in diesem Quartal seine Ziele erreicht.
792,"Jede Verkäuferin hat die Verantwortung, ihr Produkt gut zu kennen.","Jede Verkaufskraft hat die Verantwortung, ihr Produkt gut zu kennen"
793,Verkäuferinnen führten die Abteilung beim Gewinn an.,Verkaufskräfte führten die Abteilung beim Gewinn an.
794,Der Feuerwehrmann rettete tapfer die Katze vom Baum.,Die Einsatzkraft der Feuerwehr rettete tapfer die Katze vom Baum
795,Als Erwachsener möchte der kleine Junge Feuerwehrmann werden.,Als Erwachsener möchte der kleine Junge bei der Feuerwehr arbeiten.
796,"Wir brauchen mehr Feuerwehrmänner, um den Notfall zu bewältigen.","Wir brauchen mehr Feuerwehrleute, um den Notfall zu bewältigen."
797,Der Feuerwehrmann löschte die Flammen schnell.,Die Feuerwehr löschte schnell die Flammen.
798,"Sie träumt davon, wie ihr Vater Feuerwehrmann zu werden.","Sie träumt davon, wie ihr Vater bei der Feuerwehr zu arbeiten."
799,"Die Feuerwehrmänner waren schnell vor Ort, um den Brand zu löschen.","Die Feuerwehrleute waren schnell vor Ort, um den Brand zu löschen."
800,"Die Aufgabe eines Feuerwehrmanns besteht darin, für die Sicherheit der Gemeinschaft zu sorgen.","Die Aufgabe der Feuerwehr besteht darin, für die Sicherheit der Gemeinschaft zu sorgen."
801,Die tapferen Feuerwehrmänner wurden für ihren Einsatz ausgezeichnet.,Die tapferen Feuerwehrleute wurden für ihren Einsatz ausgezeichnet.
802,Mein Onkel war über 20 Jahre lang Feuerwehrmann.,Mein Onkel war über 20 Jahre lang bei der Feuerwehr.
803,Die Kinder freuten sich über den Besuch der örtlichen Feuerwehrmänner.,Die Kinder freuten sich über den Besuch der örtlichen Feuerwehrleute.
804,Mutig betrat die Feuerwehrfrau das brennende Gebäude.,Mutig betrat die Einsatzkraft der Feuerwehr das brennende Gebäude
805,Meine Nachbarin ist Feuerwehrfrau und macht ihren Job großartig.,Meine Nachbarin arbeitet bei der Feuerwehr und macht ihren Job großartig
806,"Die Kinder freuten sich, die Feuerwehrfrau während ihres Schulbesuchs kennenzulernen.","Die Kinder freuten sich, die Einsatzkraft der Feuerwehr während ihres Schulbesuchs kennenzulernen."
807,"Als der Alarm ertönte, waren alle Feuerwehrfrauen in der Station einsatzbereit.","Als der Alarm ertönte, waren alle Feuerwehrleute der Station einsatzbereit."
808,Die Feuerwehrfrau erhielt eine Medaille für ihre Tapferkeit.,Die Einsatzkraft der Feuerwehr erhielt eine Medaille für ihre Tapferkeit.
809,Die Feuerwehrfrauen löschten schnell den Brand in der Innenstadt.,Die Feuerwehr löschte schnell den Brand in der Innenstadt.
810,Wir brauchen mehr Feuerwehrfrauen im Team für Diversität.,Wir brauchen mehr Feuerwehrleute im Team für Diversität.
811,Die Feuerwehrfrauen bewiesen bei der Rettung unglaublichen Mut.,Die Feuerwehrleute bewiesen bei der Rettung unglaublichen Mut.
812,Der Feuerwehrfrauenverband organisierte eine Schulung.,Der Feuerwehrverband organisierte eine Schulung.
813,Bei der Gemeinschaftsveranstaltung waren ausschließlich Feuerwehrfrauen anwesend.,Bei der Gemeinschaftsveranstaltung waren nur Feuerwehrleute anwesend.
814,Der Barmann servierte allen Gästen Getränke.,Die Bar-Servicekraft servierte allen Gästen Getränke
815,"Fragen Sie den Barmann, ob er Ihnen einen guten Cocktail empfehlen kann.","Fragen Sie die Servicekraft an der Bar, ob sie Ihnen einen guten Cocktail empfehlen kann."
816,Der Barmann war freundlich und schnell im Service.,Die Bar-Servicekraft war freundlich und schnell im Service.
817,Ich muss einen Barmann für meine Party engagieren.,Ich muss eine Bar-Servicekraft für meine Party engagieren.
818,Der Barmann gab mir einen tollen Vorschlag für einen Drink.,Die Servicekraft an der Bar gab mir einen tollen Vorschlag für einen Drink.
819,Der Barmann bereitete Getränke für alle auf der Party zu.,Die Bar-Servicekraft bereitete Getränke für alle auf der Party zu.
820,Sie fragte den Barmann nach einer Cocktailempfehlung.,Sie fragte die Servicekraft an der Bar nach einer Cocktailempfehlung.
821,Die Barkeeper dieses Lokals sind für ihren freundlichen Service bekannt.,Die Servicekräfte an der Bar dieses Lokals sind für ihren freundlichen Service bekannt.
822,Er beschloss über die Sommerferien als Barmann zu arbeiten.,Er beschloss über die Sommerferien als Servicekraft an der Bar zu arbeiten.
823,Zu der Veranstaltung waren alle Barkeeper der Stadt eingeladen.,Zu der Veranstaltung waren alle Bar-Servicekräfte der Stadt eingeladen.
824,Die Barfrau servierte uns Getränke mit einem Lächeln.,Die Bar-Servicekraft servierte uns Getränke mit einem Lächeln.
825,Meine Freundin möchte nach dem College Barfrau werden.,Meine Freundin möchte nach dem College Bar-Servicekraft werden.
826,Die Barfrau kannte sich unglaublich gut mit Cocktails aus.,Die Bar-Servicekraft kannte sich unglaublich gut mit Cocktails aus.
827,Ich gebe meiner Lieblingsbarfrau immer großzügiges Trinkgeld.,Ich gebe meiner Lieblingsservicekraft an der Bar immer großzügiges Trinkgeld.
828,Der Pub hat letzte Woche eine neue Barfrau eingestellt.,Das Pub hat letzte Woche eine neue Servicekraft an der Bar eingestellt.
829,Die Barfrauen in diesem Pub sind wirklich freundlich.,Die Bar-Servicekräfte in diesem Pub sind wirklich freundlich.
830,Während des Festivals arbeiteten die Barfrauen in Sonderschichten.,Während des Festivals arbeiteten die Servicekräfte an der Bar in Sonderschichten.
831,Sie stellten für den Sommer zwei neue Barfrauen ein.,Sie stellten für den Sommer zwei neue Servicekräfte an der Bar ein.
832,Die Barfrau hat einen fantastischen Cocktail für uns zubereitet.,Die Bar-Servicekraft hat einen fantastischen Cocktail für uns zubereitet.
833,Wir brauchen mehr Barfrauen für die Veranstaltung dieses Wochenende.,Wir brauchen mehr Bar-Servicekräfte für die Veranstaltung dieses Wochenende.
834,"Der Putzmann kam, um das Büro aufzuräumen.","Die Reinigungskraft kam, um das Büro aufzuräumen."
835,Wir haben einen neuen Reinigungsmann für unser Gebäude eingestellt.,Wir haben eine neue Reinigungskraft für unser Gebäude eingestellt.
836,"Der Reinigungsmann arbeitet unermüdlich daran, den Bereich makellos zu halten.","Die Reinigungskraft arbeitet unermüdlich daran, den Bereich makellos zu halten."
837,"Ein Putzmann kam vorbei, um die verschüttete Flüssigkeit zu beseitigen.","Eine Reinigungskraft kam vorbei, um die verschüttete Flüssigkeit zu beseitigen."
838,"Das Büro ist auf den Reinigungsmann angewiesen, um die Hygiene aufrechtzuerhalten.","Das Büro ist auf die Reinigungskraft angewiesen, um die Hygiene aufrechtzuerhalten."
839,"Ich habe eine Putzfrau engagiert, die das Haus aufräumt.","Ich habe eine Reinigungskraft engagiert, um das Haus aufzuräumen."
840,"Die Putzfrau kommt jeden Montag, um unser Büro zu putzen.","Die Reinigungskraft kommt jeden Montag, um unser Büro zu reinigen."
